SAMPLE_ID	mutations	cna
7316-1781	WGS	WGS
7316-1790	WGS	WGS
7316-878	WGS	WGS
7316-2181	WGS	WGS
7316-2141	WGS	WGS
7316-918	WGS	WGS
7316-479	WGS	WGS
7316-1771	WGS	WGS
7316-3045	WGS	NA
7316-376	WGS	WGS
7316-2187	WGS	WGS
7316-2933	WGS	WGS
7316-341	WGS	WGS
7316-3316	WGS	WGS
7316-2671	WGS	WGS
7316-387	WGS	WGS
7316-226	WGS	NA
7316-1773	WGS	WGS
7316-1751	WGS	WGS
7316-949	WGS	WGS
7316-3773	WGS	WGS
7316-380	WGS	WGS
7316-2183	WGS	WGS
7316-166	WGS	NA
7316-1775	WGS	WGS
7316-3571	WGS	WGS
7316-124	WGS	NA
7316-2157	WGS	WGS
7316-3069	WGS	WGS
7316-3319	WGS	WGS
7316-496	WGS	WGS
7316-451	WGS	WGS
7316-873	WGS	WGS
7316-892	WGS	WGS
7316-872	WGS	WGS
7316-3	WGS	WGS
7316-2156	WGS	WGS
7316-443	WGS	NA
7316-2758	WGS	WGS
7316-889	WGS	WGS
7316-47	WGS	WGS
7316-2648	WGS	WGS
7316-160	WGS	WGS
7316-1784	WGS	WGS
7316-2144	WGS	WGS
7316-2757	WGS	WGS
7316-3299	WGS	WGS
7316-189	WGS	WGS
7316-2170	WGS	WGS
7316-198	WGS	WGS
7316-490	WGS	WGS
7316-1886	WGS	NA
7316-111	WGS	WGS
7316-454	WGS	WGS
7316-2959	WGS	WGS
7316-130	WGS	NA
7316-394	WGS	NA
7316-3292	WGS	NA
7316-3300	WGS	NA
7316-384	WGS	WGS
7316-321	WGS	WGS
7316-91	WGS	WGS
7316-319	WGS	WGS
7316-1793	WGS	WGS
7316-359	WGS	WGS
7316-2760	WGS	WGS
7316-1854	WGS	WGS
7316-914	WGS	WGS
7316-156	WGS	WGS
7316-2901	WGS	WGS
7316-452	WGS	WGS
7316-230	WGS	WGS
7316-893	WGS	WGS
7316-905	WGS	WGS
7316-120	WGS	WGS
7316-324	WGS	WGS
7316-101	WGS	WGS
7316-3572	WGS	WGS
7316-466	WGS	WGS
7316-913	WGS	WGS
7316-3765	WGS	WGS
7316-114	WGS	WGS
7316-371	WGS	NA
7316-1746	WGS	NA
7316-89	WGS	WGS
7316-1455	WGS	NA
7316-2140	WGS	WGS
7316-388	WGS	WGS
7316-1769	WGS	WGS
7316-194	WGS	WGS
7316-2152	WGS	WGS
7316-2146	WGS	WGS
7316-2751	WGS	WGS
7316-24	WGS	NA
7316-2151	WGS	WGS
7316-195	WGS	WGS
7316-942	WGS	NA
7316-3022	WGS	WGS
7316-3303	WGS	WGS
7316-1763	WGS	WGS
7316-1789	WGS	WGS
7316-445	WGS	WGS
7316-2594	WGS	WGS
7316-475	WGS	WGS
7316-487	WGS	WGS
7316-206	WGS	WGS
7316-1851	WGS	WGS
7316-121	WGS	WGS
7316-362	WGS	WGS
7316-2581	WGS	WGS
7316-3555	WGS	WGS
7316-2193	WGS	WGS
7316-485	WGS	WGS
7316-175	WGS	WGS
7316-193	WGS	NA
7316-167	WGS	NA
7316-196	WGS	WGS
7316-77	WGS	WGS
7316-875	WGS	WGS
7316-932	WGS	WGS
7316-869	WGS	NA
7316-2667	WGS	WGS
7316-84	WGS	WGS
7316-20	WGS	WGS
7316-495	WGS	WGS
7316-2899	WGS	WGS
7316-3575	WGS	WGS
7316-127	WGS	WGS
7316-884	WGS	WGS
7316-134	WGS	WGS
7316-119	WGS	WGS
7316-2729	WGS	WGS
7316-176	WGS	NA
7316-2900	WGS	NA
7316-217	WGS	WGS
7316-2723	WGS	WGS
7316-397	WGS	WGS
7316-2669	WGS	WGS
7316-117	WGS	WGS
7316-934	WGS	WGS
7316-470	WGS	WGS
7316-400	WGS	WGS
7316-393	WGS	WGS
7316-938	WGS	WGS
7316-3561	WGS	NA
7316-459	WGS	WGS
7316-472	WGS	WGS
7316-882	WGS	WGS
7316-957	WGS	WGS
7316-3055	WGS	WGS
7316-954	WGS	WGS
7316-207	WGS	WGS
7316-499	WGS	WGS
7316-2663	WGS	WGS
7316-267	WGS	WGS
7316-368	WGS	WGS
7316-345	WGS	WGS
7316-2195	WGS	WGS
7316-148	WGS	WGS
7316-891	WGS	WGS
7316-370	WGS	WGS
7316-173	WGS	WGS
7316-2154	WGS	WGS
7316-925	WGS	NA
7316-2755	WGS	WGS
7316-3062	WGS	WGS
7316-3556	WGS	WGS
7316-154	WGS	WGS
7316-880	WGS	WGS
7316-3570	WGS	WGS
7316-391	WGS	WGS
7316-162	WGS	WGS
7316-2174	WGS	WGS
7316-449	WGS	WGS
7316-2167	WGS	WGS
7316-488	WGS	NA
7316-2184	WGS	WGS
7316-350	WGS	WGS
7316-944	WGS	WGS
7316-3068	WGS	WGS
7316-183	WGS	WGS
7316-32	WGS	WGS
7316-168	WGS	WGS
7316-344	WGS	WGS
7316-442	WGS	WGS
7316-1760	WGS	WGS
7316-936	WGS	WGS
7316-2664	WGS	WGS
7316-332	WGS	WGS
7316-2172	WGS	WGS
7316-1767	WGS	WGS
7316-329	WGS	WGS
7316-946	WGS	WGS
7316-146	WGS	WGS
7316-222	WGS	WGS
7316-186	WGS	WGS
7316-937	WGS	WGS
7316-2155	WGS	WGS
7316-1772	WGS	WGS
7316-883	WGS	WGS
7316-306	WGS	WGS
7316-304	WGS	WGS
7316-278	WGS	WGS
7316-333	WGS	WGS
7316-3023	WGS	WGS
7316-931	WGS	NA
7316-99	WGS	NA
7316-6	WGS	NA
7316-407	WGS	WGS
7316-3025	WGS	WGS
7316-347	WGS	WGS
7316-178	WGS	NA
7316-302	WGS	WGS
7316-2986	WGS	NA
7316-109	WGS	WGS
7316-897	WGS	WGS
7316-153	WGS	WGS
7316-38	WGS	WGS
