targetId,drugId,maxClinicalStage
ENSG00000126934,CHEMBL2105741,APPROVAL
ENSG00000169032,CHEMBL2105741,APPROVAL
ENSG00000151062,CHEMBL940,APPROVAL
ENSG00000007402,CHEMBL940,APPROVAL
ENSG00000067191,CHEMBL940,APPROVAL
ENSG00000130433,CHEMBL940,APPROVAL
ENSG00000151067,CHEMBL940,APPROVAL
ENSG00000100346,CHEMBL940,APPROVAL
ENSG00000105605,CHEMBL940,APPROVAL
ENSG00000165995,CHEMBL940,APPROVAL
ENSG00000075461,CHEMBL940,APPROVAL
ENSG00000198216,CHEMBL940,APPROVAL
ENSG00000196557,CHEMBL940,APPROVAL
ENSG00000081248,CHEMBL940,APPROVAL
ENSG00000006283,CHEMBL940,APPROVAL
ENSG00000153956,CHEMBL940,APPROVAL
ENSG00000148408,CHEMBL940,APPROVAL
ENSG00000157445,CHEMBL940,APPROVAL
ENSG00000108878,CHEMBL940,APPROVAL
ENSG00000166862,CHEMBL940,APPROVAL
ENSG00000075429,CHEMBL940,APPROVAL
ENSG00000157388,CHEMBL940,APPROVAL
ENSG00000182389,CHEMBL940,APPROVAL
ENSG00000006116,CHEMBL940,APPROVAL
ENSG00000142408,CHEMBL940,APPROVAL
ENSG00000141837,CHEMBL940,APPROVAL
ENSG00000102001,CHEMBL940,APPROVAL
ENSG00000167535,CHEMBL940,APPROVAL
ENSG00000187486,CHEMBL1481,APPROVAL
ENSG00000006071,CHEMBL1481,APPROVAL
ENSG00000169313,CHEMBL1083385,APPROVAL
ENSG00000094755,CHEMBL580,APPROVAL
ENSG00000187730,CHEMBL580,APPROVAL
ENSG00000166206,CHEMBL580,APPROVAL
ENSG00000151834,CHEMBL580,APPROVAL
ENSG00000182256,CHEMBL580,APPROVAL
ENSG00000011677,CHEMBL580,APPROVAL
ENSG00000163288,CHEMBL580,APPROVAL
ENSG00000102287,CHEMBL580,APPROVAL
ENSG00000268089,CHEMBL580,APPROVAL
ENSG00000022355,CHEMBL580,APPROVAL
ENSG00000145864,CHEMBL580,APPROVAL
ENSG00000109158,CHEMBL580,APPROVAL
ENSG00000186297,CHEMBL580,APPROVAL
ENSG00000113327,CHEMBL580,APPROVAL
ENSG00000145863,CHEMBL580,APPROVAL
ENSG00000163285,CHEMBL580,APPROVAL
ENSG00000113580,CHEMBL1200384,APPROVAL
